month,day,year,event,category,source
10,1,1926,The first North American Prince of Wales Trophy game is held,Sports,Wikipedia
10,1,1927,The Soviet industrial giant Uralmash is founded,Industry,Wikipedia
10,1,1928,The Soviet Union introduces its First Five-Year Plan,Economics,Wikipedia
10,1,1931,The George Washington Bridge connecting New Jersey and New York City opens to traffic,Infrastructure,Wikipedia
10,1,1936,Francisco Franco is named head of the Nationalist government of Spain,Politics,Wikipedia
10,1,1936,General Jarosław Dąbrowski becomes the first commander of the Polish Air Force,Military,Wikipedia
10,1,1937,The Japanese city Handa is founded in Aichi Prefecture,Politics,Wikipedia
10,1,1938,Germany annexes the Sudetenland,Politics,Wikipedia
10,1,1939,After a negotiation in Moscow, a delegation from the Finnish government goes to Moscow in an attempt to resolve disputes over land that Moscow wants for a buffer between the Soviet Union and the West,Politics,Wikipedia
10,1,1939,After 19 years of World War I enmity, Germany and Italy sign the Pact of Steel,Politics,Wikipedia
10,1,1940,The President of Catalonia, Lluís Companys, is executed by the Spanish dictatorship of Francisco Franco, dying the only European head of state to be executed during World War II,Politics,Wikipedia
10,1,1942,USS Hornet is laid down,Military,Wikipedia
10,1,1942,First flight of the Bell XP-59 "Aircomet",Aviation,Wikipedia
10,1,1943,World War II: German forces murder 692 citizens of Tulle, France,Military,Wikipedia
10,1,1943,World War II: The 1st Ukrainian Front liberates Kiev from Nazi occupation,Military,Wikipedia
10,1,1946,Nazi leaders are sentenced at the Nuremberg trials,Politics,Wikipedia
10,1,1946,Miodrag Pleštilj is born,Births,Wikipedia
10,1,1946,The U.S. Army conducts the first airborne deployment of a battalion of the 82nd Airborne Division from Fort Bragg, North Carolina, to Exercise Portex in Panama,Military,Wikipedia
10,1,1947,The F-86 Sabre flies for the first time,Aviation,Wikipedia
10,1,1947,The World Series is first televised,Media,Wikipedia
10,1,1948,The International Union for Conservation of Nature is founded at Fontainebleau, France,Conservation,Wikipedia
10,1,1948,The U.S. House Un-American Activities Committee holds its first session on alleged communist infiltration within the Hollywood film industry,Politics,Wikipedia
10,1,1949,The People's Republic of China is established,Politics,Wikipedia
10,1,1949,Yugoslavia adopts a new constitution as a federal people's republic,Politics,Wikipedia
10,1,1950,Philippine president Elpidio Quirino launches the Quirino Administration's "Operation Brotherhood" program to combat communism in the Philippines,Politics,Wikipedia
10,1,1953,Queen Elizabeth II of the United Kingdom and her consort Prince Philip are crowned at Westminster Abbey,Politics,Wikipedia
10,1,1953,The Mutual Defense Treaty Between the United States and the Republic of Korea is concluded in Washington, D.C.,Politics,Wikipedia
10,1,1954,The first commercially operated helicopter flight takes place in Markham, Ontario, Canada,Aviation,Wikipedia
10,1,1955,Austria joins the United Nations,Politics,Wikipedia
10,1,1956,Trans-Canada Air Lines Flight 810 crashes on Mount Slesse near Chilliwack, British Columbia, killing all 62 people on board,Disasters,Wikipedia
10,1,1957,First appearance of In God We Trust on U.S. paper currency,Politics,Wikipedia
10,1,1957,Indonesia adopts a new constitution,Politics,Wikipedia
10,1,1958,The National Advisory Committee for Aeronautics is renamed NASA,Space,Wikipedia
10,1,1958,The Soviet Union launches Sputnik 1, the first artificial satellite to orbit the Earth,Space,Wikipedia
10,1,1960,Nigeria gains independence from the United Kingdom,Politics,Wikipedia
10,1,1960,The 30th Infantry Division is reactivated as the 30th Mechanized Infantry Division,Military,Wikipedia
10,1,1961,First test flight of the Boeing B-52 Stratofortress,Aviation,Wikipedia
10,1,1961,The 1st United States Cavalry Division is reorganized as an airmobile division,Military,Wikipedia
10,1,1962,First broadcast of The Tonight Show Starring Johnny Carson,Media,Wikipedia
10,1,1962,The first session of the United Nations General Assembly opens in the temporary headquarters at the New York City High School for the Performing Arts,Politics,Wikipedia
10,1,1964,The Free Speech Movement is launched on the campus of the University of California, Berkeley,Politics,Wikipedia
10,1,1964,Tokyo Summer Olympics officially open,Sports,Wikipedia
10,1,1965,General Suharto rises to power after a coup against President Sukarno,Politics,Wikipedia
10,1,1965,The Indonesian Army occupies Radio Republik Indonesia,Politics,Wikipedia
10,1,1966,West Germany introduces the motorway toll sticker,Infrastructure,Wikipedia
10,1,1966,The United States Department of Transportation is established,Politics,Wikipedia
10,1,1968,Guyana nationalizes the British Guiana Telephone Company and its subsidiary Guyana Airways Limited,Politics,Wikipedia
10,1,1968,The Guyanese government takes over the British Guiana Broadcasting Service,Politics,Wikipedia
10,1,1968,The Yugoslavian government nationalizes the Yugoslavian Railways,Politics,Wikipedia
10,1,1969,Concorde makes its first transatlantic crossing,Aviation,Wikipedia
10,1,1969,The first computer-controlled, completely automated launch of a Saturn V rocket occurs on Apollo 12,Space,Wikipedia
10,1,1971,The first Walt Disney World preview, the Magic Kingdom, opens near Orlando, Florida,Entertainment,Wikipedia
10,1,1971,The Walt Disney Company opens the Magic Kingdom theme park at Walt Disney World in Florida,Entertainment,Wikipedia
10,1,1972,The World Trade Center in New York City receives its 100,000th visitor,Architecture,Wikipedia
10,1,1975,The Seychelles gain independence from the United Kingdom,Politics,Wikipedia
10,1,1975,Thriller author Robert Ludlum's novel The Matarese Circle is published,Literature,Wikipedia
10,1,1976,El Al Flight 139 is hijacked by members of the PFLP and the German Revolutionary Cells,Disasters,Wikipedia
10,1,1977,The 1st Rugby League World Cup kicks off at Suncorp Stadium in Brisbane, Australia,Sports,Wikipedia
10,1,1978,Tuvalu gains independence from the United Kingdom,Politics,Wikipedia
10,1,1978,The Soviet Union bans the use of genetic engineering,Politics,Wikipedia
10,1,1979,Pope John Paul II begins his first pastoral visit to the United States,Religion,Wikipedia
10,1,1979,The United States returns sovereignty of the Panama Canal to Panama,Politics,Wikipedia
10,1,1982,EPCOT Center opens at Walt Disney World near Orlando, Florida, USA,Entertainment,Wikipedia
10,1,1982,Helmut Kohl replaces Helmut Schmidt as Chancellor of Germany through a constructive vote of no confidence,Politics,Wikipedia
10,1,1982,The Royal Shakespeare Company performs the first production of The Tempest at the Barbican Centre in London,Culture,Wikipedia
12,1,800,Charlemagne is crowned as Emperor of the Romans by Pope Leo III in Rome.,History,Wikipedia
12,1,1438,Philip the Good, Duke of Burgundy, enters Ghent.,History,Wikipedia
12,1,1460,The first session of the English House of Commons is held.,Politics,Wikipedia
12,1,1532,Sir Thomas Heneage is born.,Births,Wikipedia
12,1,1595,Sir Thomas Heneage, English courtier, dies.,Deaths,Wikipedia
12,1,1640,John Milton's poem "Lycidas" is published.,History,Wikipedia
12,1,1761,The first chapter of the Encyclopédie is published.,History,Wikipedia
12,1,1824,The US Electoral College votes for President, electing John Quincy Adams.,Politics,Wikipedia
12,1,1862,Abraham Lincoln delivers his second annual message to Congress.,Politics,Wikipedia
12,1,1878,The first telephone is installed in the White House by President Rutherford B. Hayes.,History,Wikipedia
12,1,1910,The first subway in Buenos Aires, Argentina, opens.,History,Wikipedia
12,1,1924,The Boston Bruins play their first NHL game in the United States.,Sports,Wikipedia
12,1,1924,A failed communist coup attempt occurs in Estonia.,Military,Wikipedia
12,1,1934,Sergei Kirov, a prominent Bolshevik leader, is assassinated in Leningrad.,Politics,Wikipedia
12,1,1939,The Finnish parliament relocates to Kauhajoki during the Winter War.,Military,Wikipedia
12,1,1940,The Terijoki Government, a puppet regime, is established by the Soviet Union in Finland.,Politics,Wikipedia
12,1,1941,The Imperial Japanese Navy conducts a test of the attack on Pearl Harbor.,Military,Wikipedia
12,1,1943,The Central African Republic gains independence from France.,Politics,Wikipedia
12,1,1960,Congolese leader Patrice Lumumba is captured.,Politics,Wikipedia
12,1,1963,Nagaland becomes a state in India.,Politics,Wikipedia
12,1,1988,Benazir Bhutto is named Prime Minister of Pakistan.,Politics,Wikipedia
12,1,1990,The Channel Tunnel linking the UK and France is officially opened.,History,Wikipedia
12,1,1997,A deadly shooting occurs at Heath High School in Kentucky.,Disasters,Wikipedia
12,1,2000,Vicente Fox is inaugurated as President of Mexico, ending 71 years of PRI rule.,Politics,Wikipedia
12,1,2005,The Perm Krai is formed by merging Perm Oblast and Komi-Permyak Autonomous Okrug in Russia.,Politics,Wikipedia
12,1,2006,Same-sex marriage becomes legal in South Africa.,Politics,Wikipedia
12,1,2008,The European Union bans the import of seal products.,Politics,Wikipedia
12,1,2011,The Almaty Metro in Kazakhstan opens.,History,Wikipedia
12,1,2018,Sexual assault cases involving minors are reported in Oulu, Finland.,Disasters,Wikipedia
12,1,2019,Arsenal's Vivianne Miedema scores six goals in a Women's Super League match.,Sports,Wikipedia
12,1,2020,The Arecibo radio telescope in Puerto Rico collapses.,Disasters,Wikipedia
12,1,1901,Ilona Fehér, American violinist and teacher, is born.,Births,Wikipedia
12,1,1910,Dame Alicia Markova, American ballerina, is born.,Births,Wikipedia
12,1,1915,Walter Alston, American baseball player and manager, is born.,Births,Wikipedia
12,1,1916,Billy Raimondi, American baseball player, is born.,Births,Wikipedia
12,1,1940,Richard Pryor, American comedian and actor, is born.,Births,Wikipedia
12,1,1946,Marty Marion, American baseball player, is born.,Births,Wikipedia
12,1,1926,Mother Antonia Brenner, American nun, is born.,Births,Wikipedia
12,1,1926,Allyn Ann McLerie, Canadian-American actress, is born.,Births,Wikipedia
12,1,1932,Sola Sierra, American human rights activist, is born.,Births,Wikipedia
12,1,1937,Vaira Vīķe-Freiberga, American-Canadian politician, is born.,Births,Wikipedia
12,1,1940,Mike Denness, Scottish cricketer, is born.,Births,Wikipedia
12,1,1941,Ásta B. Þorsteinsdóttir, Icelandic politician, is born.,Births,Wikipedia
12,1,1942,Lyle Bien, American businessman, is born.,Births,Wikipedia
12,1,1946,Valery Ryumin, American cosmonaut, is born.,Births,Wikipedia
12,1,1991,Nozipho Schroeder, South African lawn bowler, is born.,Births,Wikipedia
12,1,1956,Julee Cruise, American singer, is born.,Births,Wikipedia
12,1,1961,Safra A. Catz, Israeli-American businesswoman, is born.,Births,Wikipedia
12,1,1964,Salvatore Schillaci, Italian footballer, is born.,Births,Wikipedia
12,1,1977,Mat Kearney, American singer-songwriter, is born.,Births,Wikipedia
12,1,1983,Richard James, Jamaican sprinter, is born.,Births,Wikipedia
12,1,1985,Philip DeFranco, American YouTuber, is born.,Births,Wikipedia
12,1,1988,Michael Raffl, Austrian ice hockey player, is born.,Births,Wikipedia
12,1,1991,Rakeem Christmas, American basketball player, is born.,Births,Wikipedia
12,1,1992,Hilda Melander, Swedish tennis player, is born.,Births,Wikipedia
12,1,1992,Javier Báez, Puerto Rican baseball player, is born.,Births,Wikipedia
12,1,1992,Gary Payton II, American basketball player, is born.,Births,Wikipedia
12,1,1993,Sean Abbott, Australian cricketer, is born.,Births,Wikipedia
12,1,1996,Agnė Čepelytė, Lithuanian tennis player, is born.,Births,Wikipedia
12,1,1996,Jenna Fife, Scottish footballer, is born.,Births,Wikipedia
12,1,1998,Sada Williams, Barbadian sprinter, is born.,Births,Wikipedia
12,1,1999,Chae Yeon, South Korean singer, is born.,Births,Wikipedia
12,1,2002,Lloyd Pope, Australian cricketer, is born.,Births,Wikipedia
12,1,1999,Nico Schlotterbeck, German footballer, is born.,Births,Wikipedia
12,1,2001,Carole Monnet, French tennis player, is born.,Births,Wikipedia
12,1,670,Hasan ibn Ali, Shia Imam, dies.,Deaths,Wikipedia
12,1,1515,Pope Leo X succeeds Pope Julius II.,Politics,Wikipedia
12,1,1521,Leo X, Pope of the Catholic Church, dies.,Deaths,Wikipedia
12,1,1617,Anna Maria van Schurman, Dutch poet, is born.,Births,Wikipedia
12,1,1944,Jan Wachholz, Polish lawyer, dies.,Deaths,Wikipedia
12,1,1944,Charlie Kerins, Irish republican, is executed.,Deaths,Wikipedia
12,1,1952,Elizabeth Peratrovich, Tlingit activist, dies.,Deaths,Wikipedia
12,1,1956,Patrick O'Callaghan, Irish hammer thrower, dies.,Deaths,Wikipedia
12,1,1998,Janet Lewis, American poet, dies.,Deaths,Wikipedia
12,1,2004,Prince Bernhard of the Netherlands dies.,Deaths,Wikipedia
12,1,2004,Norman Newell, English record producer, dies.,Deaths,Wikipedia
12,1,2007,Anton Rodgers, English actor, dies.,Deaths,Wikipedia
12,1,2013,Dalibor Brozović, Croatian linguist, dies.,Deaths,Wikipedia
12,1,2013,Vivian Lynn, New Zealand artist, dies.,Deaths,Wikipedia
12,1,2018,Ken Berry, American actor, dies.,Deaths,Wikipedia
12,1,2020,Paula Tilbrook, English actress, dies.,Deaths,Wikipedia
12,1,2020,Arnie Robinson, American long jumper, dies.,Deaths,Wikipedia
12,1,2022,Gaylord Perry, American baseball player, dies.,Deaths,Wikipedia
12,1,2023,Sandra Day O'Connor, American Supreme Court Justice, dies.,Deaths,Wikipedia
12,1,2024,Terry Griffiths, Welsh snooker player, dies.,Deaths,Wikipedia
12,1,2024,Ian Redpath, Australian cricketer, dies.,Deaths,Wikipedia
